id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
gq01,SLA,SLA xử lý ticket P1 đã thay đổi như thế nào so với phiên bản trước?,"SLA xử lý Ticket P1 đã thay đổi từ phiên bản trước như sau:
- Giảm thời gian giải quyết (resolution) từ 6 giờ xuống 4 giờ [2].
- Thêm quy trình escalations tự động nếu không có phản hồi trong 10 phút [2].","Phiên bản hiện tại (v2026.1, có hiệu lực từ 2026-01-15) đã cập nhật SLA P1 resolution từ 6 giờ xuống còn 4 giờ. Phiên bản trước (v2025.3) không thay đổi SLA này.",5,Tất cả thông tin trong Answer đều có bằng chứng rõ ràng trong Context.,5,"Trả lời trực tiếp, đầy đủ và chính xác trọng tâm câu hỏi về sự thay đổi của SLA xử lý ticket P1 so với phiên bản trước.",5,Retrieved: 1/1 expected sources,4,Answer bao phủ thay đổi về thời gian giải quyết (resolution) nhưng thiếu thông tin về phiên bản cụ thể của SLA (v2026.1 và v2025.3) và ngày có hiệu lực (2026-01-15). Việc thiếu thông tin này không quá quan trọng nhưng làm giảm tính đầy đủ của câu trả lời.,dense
gq02,Cross-Document,"Khi làm việc remote, tôi phải dùng VPN và được kết nối trên tối đa bao nhiêu thiết bị?",The maximum number of devices a user can connect to the VPN is 2 [2].,"Khi làm việc remote và truy cập hệ thống nội bộ, VPN là bắt buộc (theo HR Leave Policy). Phần mềm VPN là Cisco AnyConnect và mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc (theo IT Helpdesk FAQ).",5,Tất cả thông tin trong Answer đều có bằng chứng rõ ràng trong Context.,5,Trả lời trực tiếp và chính xác về số lượng thiết bị tối đa có thể kết nối với VPN khi làm việc remote.,5,Retrieved: 2/2 expected sources,5,"Answer cung cấp thông tin chính xác về số lượng thiết bị tối đa có thể kết nối VPN (2), tương ứng với Expected Answer.",dense
gq03,Refund,Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm có được hoàn tiền không?,"Không, đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm không được hoàn tiền theo chính sách [1].",Không được hoàn tiền. Đơn hàng rơi vào hai ngoại lệ cùng lúc: (1) đơn hàng áp dụng mã giảm giá chương trình Flash Sale và (2) sản phẩm đã được kích hoạt — cả hai đều thuộc danh sách ngoại lệ không được hoàn tiền theo Điều 3 của chính sách.,5,Tất cả thông tin trong Answer đều có bằng chứng rõ ràng trong Context về việc không được hoàn tiền cho đơn hàng trong chương trình Flash Sale và sản phẩm đã kích hoạt.,5,"Trả lời trực tiếp, đầy đủ và chính xác trọng tâm câu hỏi.",5,Retrieved: 1/1 expected sources,,"Lỗi chấm điểm: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-12b-it:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations', 'provider_name': 'Google AI Studio', 'is_byok': False}}, 'user_id': 'user_3CIQ1tgZ9y4YI8rxCFTyVC2RCJF'}",dense
gq04,Refund,"Nếu chọn nhận store credit thay vì hoàn tiền, tôi được bao nhiêu phần trăm so với số tiền gốc?","Việc chọn nhận store credit thay vì hoàn tiền, bạn sẽ được 110% số tiền gốc [1].","Khách hàng có thể chọn nhận store credit (credit nội bộ) thay thế với giá trị 110% so với số tiền hoàn gốc. Đây là tùy chọn, không phải bắt buộc.",5,Tất cả thông tin trong Answer đều có bằng chứng rõ ràng trong Context.,5,"Trả lời trực tiếp, đầy đủ và chính xác trọng tâm câu hỏi.",5,Retrieved: 1/1 expected sources,5,Answer bao phủ đầy đủ thông tin quan trọng từ Expected Answer (110% số tiền gốc) và thể hiện rõ ràng lựa chọn này là tùy chọn.,dense
gq05,Access Control,"Contractor từ bên ngoài công ty có thể được cấp quyền Admin Access không? Nếu có, cần bao nhiêu ngày và có yêu cầu đặc biệt gì?","Công ty có thể cấp quyền Admin Access cho contractor. Quy trình yêu cầu phải được thực hiện theo số lượng và từng bước cụ thể như sau:

- Phê duyệt từ Line Manager trong 1 ngày làm việc.
- IT Admin kiểm tra compliance trong 2 ngày làm việc.
- IT Security review trong 5 ngày làm việc.

Về tổng thời gian, toàn bộ quy trình sẽ mất 8 ngày làm việc [3]. Ngoài ra, contractor cần phải hoàn thành training về policy security bắt buộc.","Có. Theo Access Control SOP, quy trình áp dụng cho tất cả nhân viên, contractor và third-party vendor. Admin Access (Level 4) cần phê duyệt từ IT Manager và CISO, thời gian xử lý 5 ngày làm việc, và có yêu cầu thêm: training bắt buộc về security policy.",1,"Thông tin trong Answer bịa đặt và mâu thuẫn với Context, vì không có bằng chứng cho việc contractor được cấp quyền Admin Access, và các thời gian xử lý cũng không chính xác.",5,"Trả lời trực tiếp, đầy đủ các yêu cầu về việc cấp quyền Admin Access cho contractor, bao gồm thời gian và yêu cầu đặc biệt.",5,Retrieved: 1/1 expected sources,,"Lỗi chấm điểm: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-12b-it:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations', 'provider_name': 'Google AI Studio', 'is_byok': False}}, 'user_id': 'user_3CIQ1tgZ9y4YI8rxCFTyVC2RCJF'}",dense
gq06,Cross-Document,"Lúc 2 giờ sáng xảy ra sự cố P1, on-call engineer cần cấp quyền tạm thời cho một engineer xử lý incident. Quy trình cụ thể như thế nào và quyền này tồn tại bao lâu?","The on-call engineer can grant temporary privileges to handle the incident, with a maximum duration of **24 hours**. This privilege must be approved by the Tech Lead verbally and logged in the Security Audit system [1].","On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền bị thu hồi tự động. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit. Liên hệ on-call qua hotline ext. 9999 (24/7) theo SLA P1.",5,Tất cả thông tin trong Answer đều có bằng chứng rõ ràng trong Context.,5,"Trả lời rõ ràng, đầy đủ và chính xác về quy trình cấp quyền tạm thời và thời gian tồn tại của quyền này.",5,Retrieved: 2/2 expected sources,,"Lỗi chấm điểm: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-12b-it:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations', 'provider_name': 'Google AI Studio', 'is_byok': False}}, 'user_id': 'user_3CIQ1tgZ9y4YI8rxCFTyVC2RCJF'}",dense
gq07,Insufficient Context,Công ty sẽ phạt bao nhiêu nếu team IT vi phạm cam kết SLA P1?,"The context does not provide information about the amount of punishment a company will impose if the IT team violates the P1 SLA commitment. Therefore, I cannot answer the question based on the given information [1].","Tài liệu hiện có không quy định mức phạt hay hình thức xử lý khi vi phạm SLA P1. Tài liệu sla-p1-2026.pdf chỉ mô tả quy trình xử lý và SLA target, không có điều khoản về penalty.",5,Câu trả lời hoàn toàn đúng vì không có thông tin nào về hình phạt của công ty nếu đội IT vi phạm cam kết SLA P1 trong ngữ cảnh đã cung cấp.,1,Câu trả lời hoàn toàn không liên quan đến câu hỏi về mức phạt.,,No expected sources,5,"Answer accurately reflects the expected answer by stating that the context doesn't provide information on penalties for P1 SLA violations, mirroring the expected answer's conclusion about the lack of penalty clauses in the provided document.",dense
gq08,HR Policy,Nhân viên phải báo trước bao nhiêu ngày để xin nghỉ phép năm? Con số này có giống với số ngày cần giấy tờ khi nghỉ ốm không?,"Theo câu hướng dẫn [1], nhân viên phải báo trước ít nhất 3 ngày để xin nghỉ phép năm. Số ngày cần giấy tờ khi nghỉ ốm là 9 ngày làm việc trước khi nghỉ, vì vậy đây không giống nhau theo số lượng.",Nghỉ phép năm cần báo trước ít nhất 3 ngày làm việc qua HR Portal. Nghỉ ốm cũng liên quan đến mốc 3 ngày: nếu nghỉ TRÊN 3 ngày liên tiếp thì cần giấy tờ y tế từ bệnh viện. Hai con số '3 ngày' này áp dụng cho hai tình huống khác nhau.,2,"Nhiều thông tin trong Answer không tìm thấy trong Context, cụ thể là số ngày cần giấy tờ khi nghỉ ốm được yêu cầu từ 3 ngày chứ không phải 9 ngày.",5,"Trả lời trực tiếp, đầy đủ và chính xác về số ngày báo trước khi xin nghỉ phép năm và so sánh với số ngày cần giấy tờ khi nghỉ ốm.",5,Retrieved: 1/1 expected sources,3,"Answer đúng về số ngày báo trước nghỉ phép năm (3 ngày), nhưng lại sai về số ngày cần giấy tờ khi nghỉ ốm (9 ngày thay vì trên 3 ngày liên tiếp). Thiếu sự phân biệt rõ ràng về hai tình huống khác nhau mà Expected Answer đã nêu.",dense
gq09,IT Helpdesk,"Mật khẩu tài khoản công ty cần đổi định kỳ không? Nếu có, hệ thống sẽ nhắc nhở trước bao nhiêu ngày và đổi qua đâu?","Câu trả lời: [1]

Mật khẩu tài khoản công ty cần đổi định kỳ (câu hỏi 1 có chứa câu trả lời này). Hệ thống sẽ nhắc nhở cách 7 ngày trước khi hết hạn (câu hỏi 1 có chứa câu trả lời này). Mật khẩu được thay đổi qua email công ty (câu hỏi 2 không cung cấp thông tin chi tiết).

Lưu ý: Câu trả lời cho hai câu hỏi khác trong bản chất của nó nằm ở phần [3] - IT Procurement team quản lý tất cả license, nhắc nhở sẽ được gửi 30 ngày trước khi hết hạn.","Có. Mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn. Để đổi mật khẩu, truy cập https://sso.company.internal/reset hoặc liên hệ Helpdesk qua ext. 9000.",2,"Nhiều thông tin trong Answer không tìm thấy trong Context, đặc biệt là phần về thay đổi mật khẩu qua email công ty, và liên kết đến câu hỏi khác không hợp lý.",3,"Câu trả lời có liên quan nhưng không đầy đủ, thiếu thông tin chi tiết về cách thay đổi mật khẩu qua hệ thống và nhắc nhở cụ thể.",5,Retrieved: 1/1 expected sources,,"Lỗi chấm điểm: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1776124800000'}, 'provider_name': None}}, 'user_id': 'user_3CIQ1tgZ9y4YI8rxCFTyVC2RCJF'}",dense
gq10,Refund,Chính sách hoàn tiền hiện tại áp dụng cho đơn hàng đặt trước ngày 01/02/2026 không?,"Không, chính sách hoàn tiền hiện tại không áp dụng cho đơn hàng đặt trước ngày 01/02/2026. Đơn hàng đặt trước ngày 01/02/2026 sẽ áp dụng theo chính sách hoàn tiền phiên bản 3 [1].",Không. Chính sách hoàn tiền phiên bản 4 có hiệu lực từ ngày 01/02/2026 và chỉ áp dụng cho các đơn hàng được đặt kể từ ngày đó. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3.,5,"Tất cả thông tin trong Answer đều có bằng chứng rõ ràng trong Context, đặc biệt là về việc áp dụng chính sách hoàn tiền cho các đơn hàng đặt trước ngày 01/02/2026.",5,"Câu trả lời trực tiếp, đầy đủ và chính xác, giải thích rõ ràng về chính sách hoàn tiền liên quan đến thời gian đặt hàng.",5,Retrieved: 1/1 expected sources,,"Lỗi chấm điểm: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1776124800000'}, 'provider_name': None}}, 'user_id': 'user_3CIQ1tgZ9y4YI8rxCFTyVC2RCJF'}",dense
